86 58
Ancestor   00000000000000000000000000000000110000010000000000010010000000000000000000000010000000
Enyalioide 00000001101000001100000000010100000000010000000100010010100000000000000000000010111101
Morunasuar 00000001101000001100000000010100100000010000000100010010100000000000000000000011111101
Hoplocercu 00000001000000001100000000010100111000010000000100010010100001000000000000001110111101
Oplurus    00000000000000000000000000010000110000010000000110010010110000011111000010001110000011
Chalarodon 00000000010010100011110100011100110001010010000101010010110000011111000010000010000011
Polychrus  00000000011111000011110000000100110001010000000111100011101101100000000000110010111001
Enyalius   00000000001111000011110000011000110000000001000000010000101100110010010010000010100001
Leiosaurus 00000000011111000011110000011000111000000001000000010010100001110010010010001110111101
Aperoprist 00000000001111000011110000011100111000000001000000010010100001110010010010000010111101
Diplolaemu 00000000001011000011110000011110111000000001000100010010100000110010011010001110100001
Pristidact 00000000001110000011110000011000110000000001000000010010100000110010010010001010100001
Urostrophu 00000000001111000011110000011000110000000001000101010010100001111011001010001110100001
Anisolepis 00000000001111000011110000011000111000000001000101010010100001111011001010001110100001
Aptycholae 00000000001111000011110000011100111000000001000101010010100001111011001010111110100001
Chamaeleol 00011100001111001111111111011000111111010100000111010010101111111111101110111110101101
Phenacosau 00000000001111001111111111111111110011010000000111111100101111111111101110110010111101
Chamaelino 000000000110110011111??111111110110010000000000111010000101111111111101110111110101101
Anolis     00000000000011001111111111110100110010010000000111010000101110111111101110110010001101
Amblyrhync 10010000000000111111110000000100100000010111000110010010001001000000000000100010111000
Conolophus 10011000000000111111110000000100000000010011000110010010001001000000000000000010101100
Brachyloph 00000000000000111111110000010100100000010010000110010010001001000000000000000010101100
Iguana     00011000000000111111110000010100000000010011000110010010001000000000000000000010101100
Cyclura    00011000000000111111110000000100000000010011000110010010001000000000000000000010101100
Ctenosaura 00011000000000111111110000000100000000010011000110010010001000000000000000000010100000
Enyaliosau 00000000000000111111110000000100000000010011000110010010001000000000000000001010100000
Sauromalus 00000000000000111111110000000100000001010111000110010010001000000000000000001110111100
Dipsosauru 01100000000010111111110000010100000000010010000110010010001000000000000000000010000000
Basiliscus 01111100010010001001000000000100100000111000011000010010001100000000000010000010001101
Laemanctus 00011100001111001001000000010100110000111000000100010000001101000000000010000010101101
Corytophan 01111100011011001011110000010100110000111000000100010010001101000000000010000010111101
Petrosauru 00000000000000001001010000010110110001010000010100011010000000000000000000001100000000
Sceloporus 00000000000000001001010000011110110001000000011101011010000000000000000000101100000001
Sator      00000000000000001001110000010110110001000000011101011010000000000000000000111100000001
Uta        00000000000010001001110000010110110001000000011101011010000000000000000000001100000000
Urosaurus  00000000000010001001110000010110111001000000011101011010000000000000000000001100000001
Callisauru 00000011010010001001110000011110111001010110011111011010000000000000000000001100000000
Holbrookia 00000011010010001001110000011110111001010110011111011010000000000000000000001100000000
Cophosauru 00010011010010001001110000010110111001010110011111011010000000000000000000001100000000
Uma        00000011010010001001110000010110110001010110011111011010000000000000000000001110000000
Phrynosoma 00000010011100001000010000010110111001010100011101010010000001000000000000001110101100
Crotaphytu 00000000010010001000000000010000110000010011000000010010000001000000000000001110101001
Gambelia   00000000010010001001100000010000110000111011000100010010000000000000000000001110100001
ETropiduru 00000000000000000011110100011100110000010000011100010010000000000000000010110000000000
WTropiduru 00000000000000000011110100011100110000110011011101010010000000000000000010110000000000
Tapinurus  00000000000000000011111111011110110001010001011101010010000000000000000010111100000000
Uranoscodo 00000001000011000011110000010100110000010011010100010010000000000000000010000000101101
Plica      00000001000000000011110111011100100000010111011100010010000000000000000010000000001100
Uracentron 00100001000000000011111110011110100000010011011101010010000001000000000010001100000000
Strobiluru 00000001000000000011111111111110100000010011011100010010000000000000000010000000000000
Ophryoesso 00000000000011000011110000011100110000000001011101010010000000000000000010110010000000
Stenocercu 00000000000000000011110000011100110000010001011101010010000000000000000010000010000000
Proctotret 00000000000000000011110000011100110000000011011101011010000000000000000010110010000000
Liolaemus  10000000000000001101010110011100110000010011100000010010110000000000000010111110000001
Vilcunia   10000000000000001111010110010110110000000001011100010010000000000000000010111110000001
Ctenobleph 10000001000010001101010000010100111000000000011101011010000000000000001011111110101101
Phymaturus 00000000000000001101000100010100000000000100011000010010000000000000000011001110101001
Leiocephal 10010000000000001111110100011100100000010010011101010010000000000000000010110010000000

;
;
